DNI;Nombre;Apellido1;Apellido2;Direccion;Poblado;Correo;Telefono;FechaNacimiento;TipoCarnet;FechaCarnet
97976946M;Efren;Garcia;Fierro;Plaza de la Dalia, N 165, 77043;Villalemures del Lago;Efri@servcorreo.uctreseme.edu;555192173;2016-16-16;C;2016-16-16
38930269D;Teresa;Letiche;Ancas;Travesia de la Bayeta, N 40, 60131;Paramo de los Trigos;Anci@servcorreo.uctreseme.edu;555294591;2019-19-19;C1;2019-19-19
65289655S;Irene;Ortega;Chaparro;Paseo del Silo, N 176, 61124;Valtripas;None;None;2015-15-15;B;2015-15-15
02055702P;Abundancio;Caso;Narvaez;Avenida Santa Ines, N 193, 88706;Serrania del Vertedero;Abund@servcorreo.uctreseme.edu;None;5-05-05;C;5-05-05
20304333W;Ana Brigida;Sanz;Vega;Avenida de los alamos, N 156, 94477;Sierra de los Castillos;None;None;6-06-06;C;6-06-06
40915263B;Eva Priscila;Martinez;Calderon;Plaza Goya, N 142, 85619;Valguijarros de Debajo;None;555859166;1-01-01;D;1-01-01
33585461X;Bartolome;Ibarra;Haya;Calle del Ayuntamiento, N 94, 36101;Villanieblas de los Trigos;None;None;1-01-01;B;1-01-01
89897064T;Luis;Castillo;Jimenez;Paseo Miguel Hernandez, N 6, 44798;Serrania de las Golondrinas;Pepo@servcorreo.uctreseme.edu;None;1927-27-27;D;1927-27-27
76202995Q;Ignacio Carlos;Esquiche;Bustos;Paseo Curtidores, N 184, 45588;Mogote de las Setas;None;555027592;2018-18-18;D;2018-18-18
19322800V;Frutos;Paredes;Villanueva;Calle del Mercado, N 134, 73179;Sotorriba de la Noceda;None;555128481;1-01-01;B;1-01-01
50774649X;Enrique;Caldas;Raya;Calle del Puerto, N 47, 47734;Villaguas de Debajo;Enrique@servcorreo.uctreseme.edu;555709705;2021-21-21;C;2021-21-21
58793740J;Honorata;Alcantara;Lema;Travesia del Encinar, N 23, 12969;Villanieves de la Alameda;Alci@servcorreo.uctreseme.edu;None;2021-21-21;C;2021-21-21
00708677R;Lorenzo;Perez;Rodriguez;Calle Murillo, N 47, 61153;Villaluces del Nabar;Lori@servcorreo.uctreseme.edu;555913705;2021-21-21;C1;2021-21-21
98277257M;Revocata;Ruiz;Verasategui;Avenida Esteban Vicente, N 21, 29632;Vallobos del Lago;RRuiz@servcorreo.uctreseme.edu;None;1928-28-28;B;1928-28-28
34791409E;Galo;Lujan;Gomez;Travesia del Embalse, N 15, 31475;Valguijarros del Robledal;G@servcorreo.uctreseme.edu;555463131;3-03-03;B;3-03-03
35044021W;Prospero;Cangalaya;Chang;Plaza San Bartolo, N 153, 76025;Sototorres del Pinar;None;None;2023-23-23;D1;2023-23-23
48272209Q;agata;Marquina;Granda;Plaza del Pozo, N 133, 90558;Villapiedras;None;555551208;1-01-01;B;1-01-01
84916986C;Matrona;Ortiz;Vallejos;Travesia Santa Marta, N 19, 25460;Valrriba de los Castillos;None;555072662;2015-15-15;B;2015-15-15
97201505D;Antonio;Hurtado;Canteno;Travesia del Parque, N 172, 78619;Sototrigos;Mistral@servcorreo.uctreseme.edu;None;2023-23-23;D1;2023-23-23
28786879X;Agilberta;Lopez;Paredes;Avenida del Pano, N 78, 58370;Sotopiedras del Rio;Agilb@servcorreo.uctreseme.edu;None;2015-15-15;C1;2015-15-15
39707566K;Francisca Romina;Centurion;Marreros;Calle del Embalse, N 109, 77642;Sototripas;None;555798258;2011-11-11;B;2011-11-11
77467632K;David Andres;Choque;Perez;Plaza Pastores, N 95, 81063;Sotofrios del Encinar;None;555944713;5-05-05;C;5-05-05
64997574B;Victor;Lluque;Lopez;Paseo de la Rosa, N 73, 75299;Sotocantos;None;None;2-02-02;C;2-02-02
95323852F;Cesar Enrique;Gomez;Caldas;Plaza Santo Tomas, N 193, 84387;Sotopiedras;GCaldas@servcorreo.uctreseme.edu;555945895;2016-16-16;B;2016-16-16
69049869M;Gabriel Enrique;Orejuela;Herbada;Calle Orfebres, N 51, 23734;Sotolemures de los Buhos;G.E.O.H.@servcorreo.uctreseme.edu;555298803;9-09-09;C;9-09-09
00528326Q;Hector;Berrospi;Vazquez;Travesia Cazadores, N 151, 84415;Valtorres de las Setas;None;555640922;2019-19-19;D;2019-19-19
15187129E;Francisca Roberta;Ruiz;Maza;Calle Cervantes, N 134, 81470;Villacantos;None;555240796;2022-22-22;C;2022-22-22
07471244Q;Francesca;Llasa;Perez;Calle Miguel Hernandez, N 33, 92078;Villarriba de los Buhos;None;555702885;1926-26-26;C;1926-26-26
75584686Q;M. Lucila;Polo;Escate;Plaza del Puente, N 21, 36324;Valgris;Lucila@servcorreo.uctreseme.edu;555580968;2016-16-16;B;2016-16-16
14502021S;David;Perez;Monterola;Avenida del Parque, N 87, 95758;Villalluvias;D.P.M.@servcorreo.uctreseme.edu;555308870;2017-17-17;D1;2017-17-17
45191051F;Maria de los Reyes;Prince;Reinoso;Travesia de los Jacintos, N 24, 45974;San Pedro del Secano;Prince@servcorreo.uctreseme.edu;None;2016-16-16;B;2016-16-16
60735038L;Maria de la Anunciacion;Calvo;Ruiz;Calle del Algodon, N 56, 64958;Sotofrios;Anuncy@servcorreo.uctreseme.edu;None;2018-18-18;C;2018-18-18
55133962H;Jezabel;Rodriguez;Alarcon;Travesia del Encinar, N 120, 28889;Prados de Enmedio;Jezi@servcorreo.uctreseme.edu;555003666;7-07-07;B;7-07-07
74026572Z;Dianne;Amaya;Vazquez;Avenida de los Pensamientos, N 114, 79286;Villasolana;None;None;1928-28-28;B;1928-28-28
41938714P;angel;Ruiz;Zapata;Plaza de las Carretas, N 179, 79989;Bercial de San Guijuelo;None;555883750;5-05-05;B;5-05-05
46392720H;Azarias;Zavaleta;Moreno;Paseo del Canal, N 170, 77642;Sototripas;Mori@servcorreo.uctreseme.edu;555098157;2021-21-21;B;2021-21-21
51468998N;Irma;Jimenez;Mogollon;Avenida de la Iglesia, N 135, 65411;San Jose de la Arboleda;None;None;5-05-05;C;5-05-05
25913468N;Antonio;Marchena;Valladares;Paseo de la Dalia, N 131, 91441;Villaenmedio de Manteca;None;None;8-08-08;B;8-08-08
58161619R;Jorge;Berrocal;Aragon;Travesia de las Infantas, N 126, 95758;Villalluvias;Repe@servcorreo.uctreseme.edu;555720676;1928-28-28;C1;1928-28-28
17817924P;Ana Marcela;Okuma;Cuentas;Paseo de los Nardos, N 30, 78414;Sotoverde del Encinar;Marci@servcorreo.uctreseme.edu;555918021;2016-16-16;B;2016-16-16
08914907S;Maria del Coral;Levano;Pittman;Avenida de la Rosa, N 9, 81470;Villacantos;Leona@servcorreo.uctreseme.edu;None;2023-23-23;D;2023-23-23
37794073J;Agustin Diego;Cruzado;Mayo;Plaza Cervantes, N 176, 32406;Pedragales de los Viajeros;Cruzado@servcorreo.uctreseme.edu;555705641;1928-28-28;B;1928-28-28
63709185J;Maria Quintina;Babilon;Huapaya;Travesia del Silo, N 164, 29869;San Juan de las Golondrinas;Babika@servcorreo.uctreseme.edu;555582881;9-09-09;B;9-09-09
63417788A;Maria de la Fuencisla;Concepcion;Siaden;Plaza de la Comunidad, N 76, 75374;Mogote de San Guijuelo;FMaria@servcorreo.uctreseme.edu;None;6-06-06;B;6-06-06
92531445F;Leopolda;Hernandez;Baltasar;Plaza de la Catedral, N 93, 71882;Villasopas;None;555329197;2019-19-19;C;2019-19-19
81542499R;Maria de los angeles;Felix;Pantoja;Paseo de los Geranios, N 1, 86580;Sotomelones;aFelix@servcorreo.uctreseme.edu;None;1926-26-26;D;1926-26-26
52223220H;Mafalda;Bustos;Barzola;Avenida Hidalgos, N 156, 91573;Eriales de los Viajeros;None;555428438;1929-29-29;D1;1929-29-29
53832275Q;Pompeyo;Lopez;Cristobal;Travesia del Roble, N 53, 34738;Sotovacas del Rio;None;None;1927-27-27;B;1927-27-27
26322160V;Luis;Pedreros;Sarrin;Calle de los Jazmines, N 39, 64503;Sotosetas;Whooper@servcorreo.uctreseme.edu;555561625;2018-18-18;B;2018-18-18
18258713W;Agustin Alfredo;Ponce;Zuniga;Plaza de los Narcisos, N 139, 36324;Valgris;Alfredo@servcorreo.uctreseme.edu;555978937;1930-30-30;C1;1930-30-30
40977364N;Noelia;Malaver;Llanos;Avenida del Pinar, N 11, 68480;Villaverde;None;555358907;1928-28-28;C1;1928-28-28
71116260F;Elena;Chero;Lopez;Travesia de los Jazmines, N 44, 63402;Valdebajo de la Noceda;Chero@servcorreo.uctreseme.edu;555556226;2015-15-15;B;2015-15-15
87457684T;Octavio;Perez;Maraza;Calle Conan Doyle, N 148, 22517;Villapiedras de las Sopas;Maraza@servcorreo.uctreseme.edu;555075869;4-04-04;D;4-04-04
19502956Z;Baldomero;Garcia;Galdos;Plaza del Mercado, N 148, 34463;Fuente de la Torre;None;None;2-02-02;C1;2-02-02
32457390C;Carmela;alvarez;Camacho;Paseo del Rastrillo, N 93, 86353;Villatorres;None;555016989;2011-11-11;D;2011-11-11
84218087E;M. Dorotea;Perez;Masuda;Calle Santa Eulalia, N 64, 83813;Villatripas;Dori@servcorreo.uctreseme.edu;555075228;2019-19-19;B;2019-19-19
44338136R;Benigna;Lezameta;Elescano;Calle de la Iglesia, N 75, 37133;Val de los Ciervos;Elesci@servcorreo.uctreseme.edu;None;1-01-01;B;1-01-01
76113108J;Federico;Rivera;Mayo;Paseo del Rancho, N 82, 99764;Valsetas de las Ardillas;RMayo@servcorreo.uctreseme.edu;555401509;9-09-09;B;9-09-09
57722756R;Amador;Cruces;Cespedes;Paseo San Bartolo, N 27, 61929;Valverde de la Solana;None;555745868;2012-12-12;B;2012-12-12
93655750A;Delta;Alonso;Lovon;Avenida de la Lana, N 132, 46589;Valtripas de los Caballeros;None;None;5-05-05;B;5-05-05
08375827D;Teobaldo;Ruiz;Claudio;Avenida del Clavel, N 30, 84790;Villatrigos;None;None;2017-17-17;B;2017-17-17
79172538Y;Mariano;Saavedra;Lopez;Calle Cazadores, N 156, 71882;Villasopas;MLopez@servcorreo.uctreseme.edu;555158705;1928-28-28;B;1928-28-28
65897309D;Palmira;Rabanal;Gomez;Travesia del Pozo, N 186, 63567;Sotoluces;None;555782723;2014-14-14;B;2014-14-14
98595100B;Laurentino;Romero;Jimenez;Plaza del Rastrillo, N 38, 88887;Villaenmedio;None;555693890;7-07-07;B;7-07-07
54016383D;Maria Aparecida;Humala;Gomez;Travesia Jardiel Poncela, N 167, 37140;Praderas de Arriba;Apari@servcorreo.uctreseme.edu;None;1926-26-26;B;1926-26-26
65393209T;Agustin;Durand;Sanz;Calle del Arroyo, N 190, 53728;Villabajo;Pepon@servcorreo.uctreseme.edu;555221852;1929-29-29;B;1929-29-29
06415210G;Enriqueta;Azcarate;Jara;Plaza Santa Teresa, N 137, 70681;Valverde de los Buhos;Jari@servcorreo.uctreseme.edu;None;2013-13-13;B;2013-13-13
56760451Q;Violeta;Diaz;Monje;Plaza Forjadores, N 185, 86192;Sotoconejos;Violi@servcorreo.uctreseme.edu;None;2-02-02;B;2-02-02
01707914A;Castorio;Azcarate;Henriquez;Plaza de la Seda, N 5, 55596;San Juan del Robledal;None;555575854;3-03-03;B;3-03-03
70809340E;Maria de la Epifania;Perez;Rodriguez;Avenida de las Carretas, N 153, 87344;Villatrigos de Manteca;None;555719522;2024-24-24;B;2024-24-24
75939906R;Margarita;Carrillo;Nieto;Avenida Santa Teresa, N 3, 31039;Valbajo;None;555575576;3-03-03;B;3-03-03
33972967N;Jimy;Ortiz;Fierro;Avenida San Bartolo, N 12, 73503;Valbosques;OFierro@servcorreo.uctreseme.edu;555333249;2021-21-21;B;2021-21-21
73236340Q;Maria de las Olas;Bobadilla;Laza;Travesia del Puerto, N 10, 62101;Valtrigos;None;None;2020-20-20;C;2020-20-20
80771305C;Maria de la Macarena;Anaya;Morales;Calle de la Seda, N 112, 84980;Valjamones de la Solana;None;None;5-05-05;B;5-05-05
54146779H;Petra Regina;Laque;Bernal;Plaza San Cucufato, N 93, 94536;Valluces del Canto Rodao;Bernal@servcorreo.uctreseme.edu;555237276;2016-16-16;D1;2016-16-16
67245027L;Mariam;Lopez;Ipurre;Avenida del Zoco Chico, N 180, 61929;Valverde de la Solana;Marina@servcorreo.uctreseme.edu;555150381;1928-28-28;C1;1928-28-28
17646703E;Maria Bienvenida;Hernandez;Landivar;Avenida de los alamos, N 30, 69674;Valconejos;None;555744034;2015-15-15;C;2015-15-15
67455235F;David Cesar;Camacho;Jara;Calle de la Catedral, N 105, 54298;Huertas de la Solana;None;555854921;2014-14-14;C;2014-14-14
60730294J;Policarpo;Pi;Paredes;Avenida Hidalgos, N 146, 50558;Sotobosques de San Guijuelo;Pari@servcorreo.uctreseme.edu;555696471;8-08-08;D;8-08-08
87980168Q;Jesus Diego;Bullon;Wong;Calle San Millan, N 27, 35739;Valseca del Secano;Kiko@servcorreo.uctreseme.edu;555065167;1927-27-27;D;1927-27-27
11810752E;Discorides;Zagaceta;Hernandez;Avenida Pescadores, N 55, 71882;Villasopas;ZHernandez@servcorreo.uctreseme.edu;None;3-03-03;D1;3-03-03
47718268F;Francisca Cayetana;Lezameta;Perez;Paseo de los Tulipanes, N 108, 36929;Sierra del Arroyo;Peri@servcorreo.uctreseme.edu;555132479;3-03-03;D;3-03-03
25840054Z;Julio;Hermoza;Jimenez;Avenida Conan Doyle, N 3, 70331;Valnieblas del Secano;Julino@servcorreo.uctreseme.edu;555972878;2021-21-21;B;2021-21-21
73520242Y;Maria de la Visitacion;Champa;Gonzalez;Avenida Cervantes, N 162, 24201;Valtorres de San Guijuelo;CGonzalez@servcorreo.uctreseme.edu;555408595;9-09-09;C;9-09-09
58576842M;Alberto;Guerra;Carhuamaca;Avenida Lecheros, N 128, 20628;Valtopos de los Viajeros;Alberto@servcorreo.uctreseme.edu;555034847;2018-18-18;B;2018-18-18
70018716T;Francisco;Jimenez;Solorzano;Travesia de la Dalia, N 70, 88386;Villanieblas;None;555588180;6-06-06;B;6-06-06
65151191B;Marta;Parra;Palao;Plaza San Nicolas, N 191, 63580;Villaverde del Jamon;Marti@servcorreo.uctreseme.edu;555482634;2019-19-19;B;2019-19-19
74080979A;Maria de Lourdes;Chinen;nanez;Paseo del Lago, N 140, 29401;Valfrios de los Castillos;Chinen@servcorreo.uctreseme.edu;555569495;2015-15-15;B;2015-15-15
50091888G;Josefa;Ruiz;Perez;Travesia del Terciopelo, N 200, 32332;Paramo de la Torre;RPerez@servcorreo.uctreseme.edu;None;2012-12-12;C;2012-12-12
07595709M;Alfredo;Aldabe;Wong;Travesia San Millan, N 143, 64865;Valbajo de las Tripas;AAldabe@servcorreo.uctreseme.edu;555235801;3-03-03;D;3-03-03
92366576W;Balduino;Barrantes;Cubillo;Calle del Alcazar, N 151, 50337;Mogote del Robledal;None;555937899;5-05-05;C;5-05-05
55087522S;Antigona;Paredes;Rodriguez;Avenida de las Carretas, N 90, 53502;San Pedro de la Noceda;None;555610625;1930-30-30;B;1930-30-30
85463656A;Luis;Bolanos;Cucho;Paseo Cesteros, N 146, 13735;Villasombras de la Torre;None;555319986;7-07-07;B;7-07-07
88024283V;Carla;Tellez;Cancino;Calle del Puente, N 106, 79286;Villasolana;Maja@servcorreo.uctreseme.edu;555888225;4-04-04;B;4-04-04
59070682N;Bernabe;Milla;Mora;Plaza de la Lana, N 105, 41558;Sototejas de Abajo;Berni@servcorreo.uctreseme.edu;555748374;1926-26-26;B;1926-26-26
78455829T;Alberto Jorge;Marroquin;Hinostroza;Plaza Santa Marta, N 186, 94428;Villapiedras del Cocido;Badabun@servcorreo.uctreseme.edu;555703822;7-07-07;C1;7-07-07
83880461J;Maria del Rocio;Burgos;Martinez;Plaza Chesterton, N 9, 55748;Canchales del Secano;Tupenda@servcorreo.uctreseme.edu;555724101;2010-10-10;C1;2010-10-10
11148859T;Olivia;Cantaro;Torres;Calle de las Carretas, N 120, 94259;Valcastillos;None;None;2018-18-18;B;2018-18-18
48906593Z;Amarino;Soto;Baquerizo;Calle del Roble, N 178, 92901;Valvacas de los Ciervos;Nasas@servcorreo.uctreseme.edu;555562373;2016-16-16;C1;2016-16-16
02626808R;angel;Bellido;Pedreros;Avenida Quevedo, N 92, 20777;Sotocastillos;angi@servcorreo.uctreseme.edu;555516705;1929-29-29;B;1929-29-29
45568849F;Rosalina;Monasca;Jurado;Travesia Alejandro Dumas, N 186, 99845;Valguijarros del Cocido;Risitas@servcorreo.uctreseme.edu;555022773;3-03-03;C1;3-03-03
75109144E;Fidel;Leon;Mantari;Travesia Santo Tomas, N 161, 26948;Villacastillos;Fidi@servcorreo.uctreseme.edu;None;2018-18-18;B;2018-18-18
73429060L;Kaled;Flores;Loyola;Travesia de los Pensamientos, N 46, 87128;Valchimeneas;Kaled@servcorreo.uctreseme.edu;555648887;2017-17-17;B;2017-17-17
68352906B;Maria de la Prudencia;Amancio;Faucet;Paseo de los Tulipanes, N 97, 28617;Valsombras del Canto Rodao;None;555895428;2016-16-16;B;2016-16-16
74868992J;Gabriel;Sanchez;Villavicencio;Travesia del Zoco Chico, N 49, 34825;Prados del Bosque;SVillavicencio@servcorreo.uctreseme.edu;None;1926-26-26;B;1926-26-26
53018488S;Felipe;Torres;Garcia;Travesia de los Nardos, N 16, 45996;Valtejas;None;None;1925-25-25;B;1925-25-25
36737468M;Amaia;Ferro;Bobadilla;Paseo de la Dalia, N 160, 85027;Valsequillo;Pira@servcorreo.uctreseme.edu;555779088;1930-30-30;B;1930-30-30
30801878W;Alejandra;Jurado;Robles;Avenida de la Dalia, N 19, 86353;Villatorres;JRobles@servcorreo.uctreseme.edu;555003206;2010-10-10;B;2010-10-10
91988623P;Rosario;Salcedo;Narvajo;Paseo del Pinar, N 172, 48440;Valfrios;Narvi@servcorreo.uctreseme.edu;None;2011-11-11;C;2011-11-11
32197349V;Maria Eulalia;Lipa;Carranza;Paseo de las Carretas, N 52, 41517;Valseca del Viento;None;555584502;2018-18-18;B;2018-18-18
60436163Y;Jole;Bernedo;Encarnacion;Plaza Hidalgos, N 189, 22212;Tabanera del Lago;None;555073232;3-03-03;B;3-03-03
82883718K;Alejandro Enrique;Francia;Ibarra;Avenida San Cucufato, N 68, 19219;Villamodorros;None;None;2013-13-13;D;2013-13-13
42038947F;Ignacio Manuel;Rodriguez;Martinez;Travesia del Canal, N 11, 44657;Villasetas del Rio;None;555018490;2011-11-11;C1;2011-11-11
