DNI;Nombre;Apellido1;Apellido2;Direccion;Poblado;Correo;Telefono;FechaNacimiento
56193398M;Ignacio;Palao;Escobedo;Plaza del Encinar, N 130, 46331;Sotolemures del Canto Rodao;Zete@servcorreo.uctreseme.edu;None;1992-08-08
74080979A;Maria de Lourdes;Chinen;nanez;Paseo del Lago, N 140, 29401;Valfrios de los Castillos;Chinen@servcorreo.uctreseme.edu;555569495;1940-08-15
18612682R;Maria Jose;Garcia;Malaver;Travesia de los Toros, N 24, 68540;Praderas del Torreon;Mariña@servcorreo.uctreseme.edu;555965266;1989-12-21
23939454L;Agustin Pedro;Jave;Ancas;Calle de los Narcisos, N 184, 32890;Paramo del Bosque;None;555108366;1963-07-28
63050842E;Leonardo;Lluque;Lozano;Calle Conan Doyle, N 95, 23747;Valle del Arroyo;Lluqui@servcorreo.uctreseme.edu;555253885;1964-04-23
97201505D;Antonio;Hurtado;Canteno;Travesia del Parque, N 172, 78619;Sototrigos;Mistral@servcorreo.uctreseme.edu;None;1941-03-23
97976946M;Efren;Garcia;Fierro;Plaza de la Dalia, N 165, 77043;Villalemures del Lago;Efri@servcorreo.uctreseme.edu;555192173;1994-11-16
92453827Z;Cesar;Alatriste;Ruiz;Plaza de la Catedral, N 63, 28664;Villaguijarros;None;555867887;1972-12-09
38930269D;Teresa;Letiche;Ancas;Travesia de la Bayeta, N 40, 60131;Paramo de los Trigos;Anci@servcorreo.uctreseme.edu;555294591;1969-03-19
33254360V;Elias;Ponce;Vazquez;Plaza Hidalgos, N 152, 30490;Serrania de los Caballeros;None;555901287;1949-03-06
55074832K;Maria Jose;Silva;Mogollon;Travesia San Crispulo, N 27, 51919;Sotoguas;SMogollon@servcorreo.uctreseme.edu;555228344;1952-06-19
55087522S;Antigona;Paredes;Rodriguez;Avenida de las Carretas, N 90, 53502;San Pedro de la Noceda;None;555610625;1978-11-30
92366576W;Balduino;Barrantes;Cubillo;Calle del Alcazar, N 151, 50337;Mogote del Robledal;None;555937899;1949-06-05
00528326Q;Hector;Berrospi;Vazquez;Travesia Cazadores, N 151, 84415;Valtorres de las Setas;None;555640922;1954-02-19
41983923E;Mildreda;Mayhua;Pereyra;Avenida San Juan de la Cruz, N 114, 12325;Eriales de Abajo;None;555476677;1961-05-20
33585461X;Bartolome;Ibarra;Haya;Calle del Ayuntamiento, N 94, 36101;Villanieblas de los Trigos;None;None;1961-05-01
89897064T;Luis;Castillo;Jimenez;Paseo Miguel Hernandez, N 6, 44798;Serrania de las Golondrinas;Pepo@servcorreo.uctreseme.edu;None;1974-10-27
76202995Q;Ignacio Carlos;Esquiche;Bustos;Paseo Curtidores, N 184, 45588;Mogote de las Setas;None;555027592;1980-09-18
24230709W;Maria Azucena;Buendia;Lopez;Paseo Pescadores, N 198, 59582;Valtopos de la Costa;Buendiña@servcorreo.uctreseme.edu;555621295;1974-05-28
60908146Y;Ramon Carlos;Hernandez;Cangalaya;Paseo de los Jacintos, N 11, 29575;Huertas del Nabar;None;None;1959-07-30
00708677R;Lorenzo;Perez;Rodriguez;Calle Murillo, N 47, 61153;Villaluces del Nabar;Lori@servcorreo.uctreseme.edu;555913705;1962-07-21
98277257M;Revocata;Ruiz;Verasategui;Avenida Esteban Vicente, N 21, 29632;Vallobos del Lago;RRuiz@servcorreo.uctreseme.edu;None;1968-09-28
34791409E;Galo;Lujan;Gomez;Travesia del Embalse, N 15, 31475;Valguijarros del Robledal;G@servcorreo.uctreseme.edu;555463131;1946-06-03
61353152P;David;Lozano;Villanueva;Avenida del Campo, N 13, 51240;Valdebajo;None;None;1975-08-16
70886396M;Jose Gerardo;Vega;Baltasar;Plaza Miguel Hernandez, N 77, 90775;Villacalores;None;None;1947-06-08
84916986C;Matrona;Ortiz;Vallejos;Travesia Santa Marta, N 19, 25460;Valrriba de los Castillos;None;555072662;1988-11-15
43201383T;Apodemio;Calderon;Belleza;Avenida Jardiel Poncela, N 127, 12912;Sotoarbustos;None;555694511;1966-04-03
17017996C;James;Perez;Cucho;Travesia del Rastrillo, N 25, 68141;Valvacas del Torreon;None;555473413;1955-11-15
77467632K;David Andres;Choque;Perez;Plaza Pastores, N 95, 81063;Sotofrios del Encinar;None;555944713;1976-07-05
22649968M;Maria del Mar;Diaz;Zuniga;Avenida del Arroyo, N 153, 67758;Sotodebajo;Coscha@servcorreo.uctreseme.edu;555571262;1956-02-11
64997574B;Victor;Lluque;Lopez;Paseo de la Rosa, N 73, 75299;Sotocantos;None;None;1987-04-02
95323852F;Cesar Enrique;Gomez;Caldas;Plaza Santo Tomas, N 193, 84387;Sotopiedras;GCaldas@servcorreo.uctreseme.edu;555945895;1953-06-16
51464893R;Leila;Conza;Sanchez;Calle de los Tulipanes, N 126, 27306;Hayedo de las Caballerizas;None;None;1980-04-24
20147685F;Amaya;Diaz;Martinez;Travesia Jardiel Poncela, N 45, 71882;Villasopas;DMartinez@servcorreo.uctreseme.edu;555280022;1965-08-05
07471244Q;Francesca;Llasa;Perez;Calle Miguel Hernandez, N 33, 92078;Villarriba de los Buhos;None;555702885;1968-10-26
75584686Q;M. Lucila;Polo;Escate;Plaza del Puente, N 21, 36324;Valgris;Lucila@servcorreo.uctreseme.edu;555580968;1975-11-16
21371673G;Maria de la Cruz;Rodriguez;Lopez;Travesia del Arroyo, N 172, 47623;Sotoseca;Cruz@servcorreo.uctreseme.edu;None;1964-06-09
12028211Q;Alejandro;Ruiz;Allauca;Avenida del Clavel, N 103, 27144;Villaverde de los Ciervos;RAllauca@servcorreo.uctreseme.edu;555070624;1966-11-17
55133962H;Jezabel;Rodriguez;Alarcon;Travesia del Encinar, N 120, 28889;Prados de Enmedio;Jezi@servcorreo.uctreseme.edu;555003666;1985-07-07
74026572Z;Dianne;Amaya;Vazquez;Avenida de los Pensamientos, N 114, 79286;Villasolana;None;None;1956-04-28
41938714P;angel;Ruiz;Zapata;Plaza de las Carretas, N 179, 79989;Bercial de San Guijuelo;None;555883750;1970-08-05
40915263B;Eva Priscila;Martinez;Calderon;Plaza Goya, N 142, 85619;Valguijarros de Debajo;None;555859166;1944-02-01
51468998N;Irma;Jimenez;Mogollon;Avenida de la Iglesia, N 135, 65411;San Jose de la Arboleda;None;None;1972-01-05
25913468N;Antonio;Marchena;Valladares;Paseo de la Dalia, N 131, 91441;Villaenmedio de Manteca;None;None;1947-12-08
44637269L;Consolacion;Gomez;Vega;Paseo Pastores, N 46, 54549;San Jose del Torreon;None;None;1955-07-27
29480068W;Maria del Cielo;Wong;Lopez;Plaza del Encinar, N 153, 77653;Sotosolana de Enmedio;Marita@servcorreo.uctreseme.edu;555491611;1959-05-21
17817924P;Ana Marcela;Okuma;Cuentas;Paseo de los Nardos, N 30, 78414;Sotoverde del Encinar;Marci@servcorreo.uctreseme.edu;555918021;1971-01-16
80805990K;angel Jorge;Champa;Pastor;Calle del Alcazar, N 167, 89207;Vallluvias de la Solana;CPastor@servcorreo.uctreseme.edu;None;1955-03-04
37794073J;Agustin Diego;Cruzado;Mayo;Plaza Cervantes, N 176, 32406;Pedragales de los Viajeros;Cruzado@servcorreo.uctreseme.edu;555705641;1951-06-28
46104267P;Felicidad;Hidroso;Torres;Avenida Estiradores, N 167, 65776;Serrania de las Setas;None;555031873;1959-11-23
81542499R;Maria de los angeles;Felix;Pantoja;Paseo de los Geranios, N 1, 86580;Sotomelones;aFelix@servcorreo.uctreseme.edu;None;1971-03-26
79278865G;Maria Jose;Diaz;Perez;Travesia San Jose, N 34, 95508;Fuente de los Castillos;None;555602531;1944-01-17
30801878W;Alejandra;Jurado;Robles;Avenida de la Dalia, N 19, 86353;Villatorres;JRobles@servcorreo.uctreseme.edu;555003206;1954-11-10
18258713W;Agustin Alfredo;Ponce;Zuniga;Plaza de los Narcisos, N 139, 36324;Valgris;Alfredo@servcorreo.uctreseme.edu;555978937;1944-08-30
40977364N;Noelia;Malaver;Llanos;Avenida del Pinar, N 11, 68480;Villaverde;None;555358907;1945-05-28
71116260F;Elena;Chero;Lopez;Travesia de los Jazmines, N 44, 63402;Valdebajo de la Noceda;Chero@servcorreo.uctreseme.edu;555556226;1944-12-15
87457684T;Octavio;Perez;Maraza;Calle Conan Doyle, N 148, 22517;Villapiedras de las Sopas;Maraza@servcorreo.uctreseme.edu;555075869;1979-07-04
19502956Z;Baldomero;Garcia;Galdos;Plaza del Mercado, N 148, 34463;Fuente de la Torre;None;None;1981-05-02
32457390C;Carmela;alvarez;Camacho;Paseo del Rastrillo, N 93, 86353;Villatorres;None;555016989;1940-04-11
33300126J;Benito;Villanueva;Schmitt;Plaza del Lino, N 104, 64503;Sotosetas;Manas@servcorreo.uctreseme.edu;None;1970-09-18
58094111K;Mar;Valderrama;Salas;Paseo Orfebres, N 197, 43710;Huertas de las Caballerizas;None;555642272;1939-10-26
84218087E;M. Dorotea;Perez;Masuda;Calle Santa Eulalia, N 64, 83813;Villatripas;Dori@servcorreo.uctreseme.edu;555075228;1971-12-19
31414734T;Maria Clotilde;Mendoza;Gomez;Avenida de los alamos, N 68, 11006;Sotolemures de la Noceda;Cloty@servcorreo.uctreseme.edu;555654658;1951-05-25
51285523P;Francisco Carlos;Padua;Perez;Calle San Juan de la Cruz, N 122, 95975;Valguijarros;None;None;1939-03-29
76113108J;Federico;Rivera;Mayo;Paseo del Rancho, N 82, 99764;Valsetas de las Ardillas;RMayo@servcorreo.uctreseme.edu;555401509;1974-06-09
30173036A;Secundino;Illescas;Casanova;Travesia San Crispulo, N 152, 67758;Sotodebajo;Seci@servcorreo.uctreseme.edu;None;1962-04-05
56475918Q;Sagrario;Mantari;Lopez;Avenida del Mercado, N 71, 75295;Sierra de las Ardillas;Lopez@servcorreo.uctreseme.edu;555629954;1975-05-21
68579236K;Emilio Roberto;Lago;Lucero;Paseo Dali, N 7, 71882;Villasopas;Robi@servcorreo.uctreseme.edu;555100221;1950-11-05
72487325L;Agacio;Garcia;angeles;Paseo Carpinteros, N 86, 41041;Villagris del Lago;Risky@servcorreo.uctreseme.edu;555015300;1944-08-16
65897309D;Palmira;Rabanal;Gomez;Travesia del Pozo, N 186, 63567;Sotoluces;None;555782723;1945-05-14
69049869M;Gabriel Enrique;Orejuela;Herbada;Calle Orfebres, N 51, 23734;Sotolemures de los Buhos;G.E.O.H.@servcorreo.uctreseme.edu;555298803;1962-11-09
54016383D;Maria Aparecida;Humala;Gomez;Travesia Jardiel Poncela, N 167, 37140;Praderas de Arriba;Apari@servcorreo.uctreseme.edu;None;1951-08-26
65393209T;Agustin;Durand;Sanz;Calle del Arroyo, N 190, 53728;Villabajo;Pepon@servcorreo.uctreseme.edu;555221852;1961-05-29
01707914A;Castorio;Azcarate;Henriquez;Plaza de la Seda, N 5, 55596;San Juan del Robledal;None;555575854;1970-04-03
56536795N;Maria de las Angustias;Cueva;Aguilera;Calle Quevedo, N 146, 29222;Villatejas de San Guijuelo;Chachi@servcorreo.uctreseme.edu;555177619;1948-12-12
70809340E;Maria de la Epifania;Perez;Rodriguez;Avenida de las Carretas, N 153, 87344;Villatrigos de Manteca;None;555719522;1958-01-24
86515357Y;Africano;Fritsch;Barba;Calle del Terciopelo, N 71, 12605;Villacantos de la Alameda;Afrito@servcorreo.uctreseme.edu;555895041;1977-01-19
73236340Q;Maria de las Olas;Bobadilla;Laza;Travesia del Puerto, N 10, 62101;Valtrigos;None;None;1949-07-20
80771305C;Maria de la Macarena;Anaya;Morales;Calle de la Seda, N 112, 84980;Valjamones de la Solana;None;None;1989-01-05
54146779H;Petra Regina;Laque;Bernal;Plaza San Cucufato, N 93, 94536;Valluces del Canto Rodao;Bernal@servcorreo.uctreseme.edu;555237276;1939-10-16
67245027L;Mariam;Lopez;Ipurre;Avenida del Zoco Chico, N 180, 61929;Valverde de la Solana;Marina@servcorreo.uctreseme.edu;555150381;1955-04-28
67455235F;David Cesar;Camacho;Jara;Calle de la Catedral, N 105, 54298;Huertas de la Solana;None;555854921;1955-01-14
60730294J;Policarpo;Pi;Paredes;Avenida Hidalgos, N 146, 50558;Sotobosques de San Guijuelo;Pari@servcorreo.uctreseme.edu;555696471;1984-02-08
87980168Q;Jesus Diego;Bullon;Wong;Calle San Millan, N 27, 35739;Valseca del Secano;Kiko@servcorreo.uctreseme.edu;555065167;1955-06-27
32609826N;Cayetano;Almeida;Kuyeng;Travesia Estiradores, N 96, 78109;Villachimeneas de los Viajeros;None;555256042;1968-10-29
26322160V;Luis;Pedreros;Sarrin;Calle de los Jazmines, N 39, 64503;Sotosetas;Whooper@servcorreo.uctreseme.edu;555561625;1977-03-18
47718268F;Francisca Cayetana;Lezameta;Perez;Paseo de los Tulipanes, N 108, 36929;Sierra del Arroyo;Peri@servcorreo.uctreseme.edu;555132479;1959-04-03
25840054Z;Julio;Hermoza;Jimenez;Avenida Conan Doyle, N 3, 70331;Valnieblas del Secano;Julino@servcorreo.uctreseme.edu;555972878;1958-05-21
11810752E;Discorides;Zagaceta;Hernandez;Avenida Pescadores, N 55, 71882;Villasopas;ZHernandez@servcorreo.uctreseme.edu;None;1959-09-03
16203684T;Reinaldo;Nagore;Martinez;Plaza Asimov, N 29, 84604;Sotocalores;Nagore@servcorreo.uctreseme.edu;555276573;1976-03-21
46197994X;Carlos;Avendano;Delgado;Calle Carpinteros, N 199, 72686;Sototorres de Arriba;Delgui@servcorreo.uctreseme.edu;None;1957-08-25
65151191B;Marta;Parra;Palao;Plaza San Nicolas, N 191, 63580;Villaverde del Jamon;Marti@servcorreo.uctreseme.edu;555482634;1975-02-19
79763740Q;Damian;Lomer;Cangalaya;Avenida del Zoco Chico, N 198, 13646;Sotochimeneas;None;None;1965-01-17
19322800V;Frutos;Paredes;Villanueva;Calle del Mercado, N 134, 73179;Sotorriba de la Noceda;None;555128481;1978-03-01
07595709M;Alfredo;Aldabe;Wong;Travesia San Millan, N 143, 64865;Valbajo de las Tripas;AAldabe@servcorreo.uctreseme.edu;555235801;1970-03-03
85463656A;Luis;Bolanos;Cucho;Paseo Cesteros, N 146, 13735;Villasombras de la Torre;None;555319986;1947-10-07
93655750A;Delta;Alonso;Lovon;Avenida de la Lana, N 132, 46589;Valtripas de los Caballeros;None;None;1951-04-05
59070682N;Bernabe;Milla;Mora;Plaza de la Lana, N 105, 41558;Sototejas de Abajo;Berni@servcorreo.uctreseme.edu;555748374;1948-08-26
83880461J;Maria del Rocio;Burgos;Martinez;Plaza Chesterton, N 9, 55748;Canchales del Secano;Tupenda@servcorreo.uctreseme.edu;555724101;1957-07-10
11148859T;Olivia;Cantaro;Torres;Calle de las Carretas, N 120, 94259;Valcastillos;None;None;1993-04-18
48272209Q;agata;Marquina;Granda;Plaza del Pozo, N 133, 90558;Villapiedras;None;555551208;1952-11-01
19425545K;Jacobo;Cieza;Copa;Paseo del Puente, N 97, 74888;Prados de San Guijuelo;Jaci@servcorreo.uctreseme.edu;555198578;1965-08-02
02626808R;angel;Bellido;Pedreros;Avenida Quevedo, N 92, 20777;Sotocastillos;angi@servcorreo.uctreseme.edu;555516705;1970-07-29
06769696Z;Aldegunda;Navarro;Perez;Plaza San Esteban, N 149, 59013;Villagris;None;None;1969-06-20
45568849F;Rosalina;Monasca;Jurado;Travesia Alejandro Dumas, N 186, 99845;Valguijarros del Cocido;Risitas@servcorreo.uctreseme.edu;555022773;1981-02-03
63763779M;Carlos;Huertas;Levano;Paseo de la Bayeta, N 83, 76775;Sotojamones del Nabar;Huerti@servcorreo.uctreseme.edu;555756828;1958-06-03
68352906B;Maria de la Prudencia;Amancio;Faucet;Paseo de los Tulipanes, N 97, 28617;Valsombras del Canto Rodao;None;555895428;1958-04-16
53018488S;Felipe;Torres;Garcia;Travesia de los Nardos, N 16, 45996;Valtejas;None;None;1968-03-25
36737468M;Amaia;Ferro;Bobadilla;Paseo de la Dalia, N 160, 85027;Valsequillo;Pira@servcorreo.uctreseme.edu;555779088;1980-11-30
36071957E;Rosa Liliana;Quintanilla;Porras;Travesia Mayor, N 199, 73929;Villadebajo;None;555387900;1940-12-14
91988623P;Rosario;Salcedo;Narvajo;Paseo del Pinar, N 172, 48440;Valfrios;Narvi@servcorreo.uctreseme.edu;None;1950-09-11
00015430C;Isaac;Canales;Jimenez;Plaza San Martin, N 58, 25689;Otero del Bosque;ICanales@servcorreo.uctreseme.edu;None;1952-02-17
42038947F;Ignacio Manuel;Rodriguez;Martinez;Travesia del Canal, N 11, 44657;Villasetas del Rio;None;555018490;1977-06-11
85549822B;Jillian;Izquierdo;Solis;Paseo de los alamos, N 144, 15766;Prados del Nabar;Jillina@servcorreo.uctreseme.edu;555241288;1939-05-22
87767956W;Tino;Buitron;Mora;Paseo Perez-Reverte, N 83, 87010;Sotosequillo de los Caballeros;TBuitron@servcorreo.uctreseme.edu;555046151;1981-02-09
53832275Q;Pompeyo;Lopez;Cristobal;Travesia del Roble, N 53, 34738;Sotovacas del Rio;None;None;1977-02-27
48192930H;Maria de la Fuencisla;Murrugarra;Regalado;Travesia del Clavel, N 62, 37340;Ciudad de las Aguas;Regalado@servcorreo.uctreseme.edu;555210406;1961-03-24
21763956E;Bernaldo;Monzon;Aquino;Avenida de los Toros, N 83, 53502;San Pedro de la Noceda;Buho@servcorreo.uctreseme.edu;555005069;1975-12-23
76150280V;Maria de la Prosperidad;Jimenez;Melendez;Paseo San Cucufato, N 108, 12261;Villalemures de la Costa;Meli@servcorreo.uctreseme.edu;555806228;1941-08-08
76055771S;Estibaliz;Zavaleta;Gomez;Travesia Asimov, N 7, 77859;Valnieblas de la Noceda;Gomi@servcorreo.uctreseme.edu;555063833;1994-05-19
74086301N;Francisca Ainhoa;Burgos;Rivero;Paseo Miguel Delibes, N 88, 27253;Villaconejos de los Buhos;Rivero@servcorreo.uctreseme.edu;555321053;1952-06-24
45191051F;Maria de los Reyes;Prince;Reinoso;Travesia de los Jacintos, N 24, 45974;San Pedro del Secano;Prince@servcorreo.uctreseme.edu;None;1965-02-16
60260601A;Gerda;Bendezu;Vilca;Plaza San Cucufato, N 75, 66926;Villavacas;None;None;1987-06-18
09611341D;Silvia Lidia;Martinez;Bonilla;Calle Hidalgos, N 23, 64050;Villalluvias de los Viajeros;SLidia@servcorreo.uctreseme.edu;555425926;1946-10-17
13633650D;Jaime;Marca;Azcarate;Calle San Juan de la Cruz, N 114, 93020;Villanieblas del Secano;Marca@servcorreo.uctreseme.edu;555744036;1966-01-17
22764409K;Pascual;Mego;Gomez;Paseo de los Tulipanes, N 98, 65387;Praderas de las Setas;Pasci@servcorreo.uctreseme.edu;555429855;1994-10-28
12519376Q;Eva Jimena;Rivera;Camarena;Avenida San Juan de la Cruz, N 5, 57688;Monte del Vertedero;Jimi@servcorreo.uctreseme.edu;555074741;1939-10-24
31970465M;Marivi;Higa;Ibarra;Travesia Real, N 112, 85027;Valsequillo;None;555390700;1972-11-20
56938622Y;Maria de las Angustias;Clavijo;Jimenez;Plaza Miguel Hernandez, N 78, 96511;Monte de Arriba;Jimenez@servcorreo.uctreseme.edu;None;1994-01-26
47285810H;Rosaura;Ruiz;Chacon;Calle Miguel Delibes, N 79, 36324;Valgris;None;555146355;1978-12-29
14502021S;David;Perez;Monterola;Avenida del Parque, N 87, 95758;Villalluvias;D.P.M.@servcorreo.uctreseme.edu;555308870;1952-09-17
49078455C;Autonomo;Cantaro;Shardin;Calle de las Violetas, N 167, 75976;Villalemures de los Castillos;Auti@servcorreo.uctreseme.edu;555036852;1963-03-02
20533589V;Rosa Berta;Quinonez;Malca;Travesia de los Pensamientos, N 12, 17684;Valpinares de los Trigos;Quinonez@servcorreo.uctreseme.edu;None;1980-11-17
00699099Z;Perancejo;Torres;Garate;Calle San Cucufato, N 158, 43123;Villamodorros del Torreon;None;555956249;1942-08-25
33344237X;Rosa Olimpia;Hernandez;Navarro;Avenida Estiradores, N 16, 88386;Villanieblas;Olimpika@servcorreo.uctreseme.edu;555074075;1979-03-23
25073532J;Barbara;Laque;Hernandez;Plaza Murillo, N 158, 66926;Villavacas;None;555497149;1953-09-11
06729275G;Roque;Orellana;Lopez;Avenida Quevedo, N 65, 40524;Villalluvias de la Arboleda;ROrellana@servcorreo.uctreseme.edu;None;1984-05-01
97045896H;Felipe;Sanroman;Garcia;Plaza de la Dalia, N 49, 88697;Huertas de San Guijuelo;Finit@servcorreo.uctreseme.edu;None;1944-09-27
67121154R;Maria de la Visitacion;Salas;Rivera;Calle de los Pensamientos, N 95, 95927;Valtrigos de las Tripas;MRivera@servcorreo.uctreseme.edu;555586361;1947-10-29
72449035R;Oscar;Bazalar;Lopez;Avenida de la Felicidad, N 142, 34894;Sotosolana de las Ardillas;Torpe@servcorreo.uctreseme.edu;555667542;1970-12-24
